set_type,baseline,hll_12,hll_16,hll_4,hll_8
pitch_diff-ngram_5,0.14167616531719393,0.06576551390622702,0.14413289744956687,0.022431038949955205,0.011361911078228204
pitch_diff-multi_gram_5_10,0.13453592919526647,0.0312961571416971,0.07424679645392998,0.018156024077466554,0.016280378592224642
pitch_diff-ngram_8,0.03636100548320846,0.03289756256403466,0.02417171243191476,0.014828757930424616,0.013728073529566115
pitch_diff-ngram_10,0.03578977536138066,0.018179161115061255,0.02933467160943537,0.026129856786718187,0.023154008039236333
pitch_diff-ngram_12,0.03578977536138066,0.03763529128192098,0.029145935495053878,0.0279591547037819,0.014678180171625924
UpSameDown-multi_gram_5_10,0.028030731978048846,0.025621788281594653,0.027622582182285055,0.015315538437465553,0.014794980016782616
UpSameDown-ngram_10,0.02603046451128004,0.019239424565466068,0.02570310264074673,0.0107004575246333,0.012502048905251511
UpSameDown-ngram_8,0.0250658583135271,0.03153493442018264,0.02493673800621682,0.017932261793751184,0.014167546215873423
UpSameDown-ngram_12,0.024538452078756115,0.02832533178247602,0.024993762468915513,0.009731508371987514,0.016555410580272555
UpSameDown-ngram_5,0.013552540802629954,0.020202472532951373,0.017880993182704048,0.012416814133137746,0.018827242921709387
